Round |      k_i+3     |      k_i+2     |      k_i+1     |      k_i+0   
start |1B1A1918|13121110|0B0A0908|03020100
0     |EBE9EDED|1B1A1918|13121110|0B0A0908
1     |D0D3D4D5|EBE9EDED|1B1A1918|13121110
2     |D9DBDDDD|D0D3D4D5|EBE9EDED|1B1A1918
3     |5A1F9093|D9DBDDDD|D0D3D4D5|EBE9EDED
4     |A5E32B2B|5A1F9093|D9DBDDDD|D0D3D4D5
5     |85C0090A|A5E32B2B|5A1F9093|D9DBDDDD
6     |D0091304|85C0090A|A5E32B2B|5A1F9093
7     |4A471818|D0091304|85C0090A|A5E32B2B
8     |D19CC7C2|4A471818|D0091304|85C0090A
9     |DA2DD0FF|D19CC7C2|4A471818|D0091304
10     |F33BDCC0|DA2DD0FF|D19CC7C2|4A471818
11     |0719A822|F33BDCC0|DA2DD0FF|D19CC7C2
12     |DA10893A|0719A822|F33BDCC0|DA2DD0FF
13     |A09E0E82|DA10893A|0719A822|F33BDCC0
14     |01E67378|A09E0E82|DA10893A|0719A822
15     |0ED744B1|01E67378|A09E0E82|DA10893A
16     |64536BC2|0ED744B1|01E67378|A09E0E82
17     |5C6B748F|64536BC2|0ED744B1|01E67378
18     |E97701C7|5C6B748F|64536BC2|0ED744B1
19     |39CF0489|E97701C7|5C6B748F|64536BC2
20     |2F106DAB|39CF0489|E97701C7|5C6B748F
21     |591A8838|2F106DAB|39CF0489|E97701C7
22     |5CD6F728|591A8838|2F106DAB|39CF0489
23     |BA100503|5CD6F728|591A8838|2F106DAB
24     |63CA822F|BA100503|5CD6F728|591A8838
25     |079E7C9C|63CA822F|BA100503|5CD6F728
26     |D50902D1|079E7C9C|63CA822F|BA100503
27     |E33AFE8C|D50902D1|079E7C9C|63CA822F
28     |9087946A|E33AFE8C|D50902D1|079E7C9C
29     |D37384D2|9087946A|E33AFE8C|D50902D1
30     |8F99D0B8|D37384D2|9087946A|E33AFE8C
31     |2D48ADE6|8F99D0B8|D37384D2|9087946A
32     |8BEFE261|2D48ADE6|8F99D0B8|D37384D2
33     |B0A7CA4F|8BEFE261|2D48ADE6|8F99D0B8
34     |03F7D84C|B0A7CA4F|8BEFE261|2D48ADE6
35     |CC84D6F9|03F7D84C|B0A7CA4F|8BEFE261
36     |05FEC145|CC84D6F9|03F7D84C|B0A7CA4F
37     |4A448D2A|05FEC145|CC84D6F9|03F7D84C
38     |E5815C7A|4A448D2A|05FEC145|CC84D6F9
39     |3D5EAB8F|E5815C7A|4A448D2A|05FEC145
40     |2688A1E4|3D5EAB8F|E5815C7A|4A448D2A
41     |DEB8C67B|2688A1E4|3D5EAB8F|E5815C7A
42     |4997D51F|DEB8C67B|2688A1E4|3D5EAB8F
43     |8FB0373E|4997D51F|DEB8C67B|2688A1E4
